EVENT DATE,Program,MUNICIPALITY, REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
10/7/2017,Industrial Health & Safety Program,Thunder Bay,Northern,721111,Hotels,SERV,"Tourism, Hospitality & Recreational Services",
10/2/2017,Industrial Health & Safety Program,CAMBRIDGE,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
10/2/2017,Industrial Health & Safety Program,Ingersoll,Western,913190,Other Municipal Protective Services,GOVT,Government,6 to 19
10/5/2017,Industrial Health & Safety Program,Mississauga,Central West,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,STEL,Primary Metals,50 or More
10/5/2017,Industrial Health & Safety Program,Ajax,Central East,452991,Home and Auto Supplies Stores,RETL,Retail,50 or More
10/29/2017,Mining Health & Safety Program,Campbellville,South Western,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,20 to 49
10/31/2017,Industrial Health & Safety Program,Markham,Central West,311611,Animal (except Poultry) Slaughtering,FOOD,"Food, Beverage & Tobacco",50 or More
11/1/2017,Industrial Health & Safety Program,Brampton,Central West,332999,All other miscellaneous fabricated metal product manufacturing,NECI,NEC - Industrial,50 or More
11/1/2017,Industrial Health & Safety Program,KITCHENER,Western,331222,Steel Wire Drawing,FABR,Wood & Metal Fabrication,50 or More
10/30/2017,Industrial Health & Safety Program,Toronto,Central East,446110,Pharmacies and Drug Stores,RETL,Retail,20 to 49
11/5/2017,Industrial Health & Safety Program,Etobicoke,Central East,913130,Municipal Police Services,PLCE,Police,50 or More
11/5/2017,Industrial Health & Safety Program,Renfrew,Eastern,611110,Elementary and Secondary Schools,EDUC,Education,
10/28/2017,Industrial Health & Safety Program,LONDON,Western,332810,"Coating, engraving, cold and heat treating and allied activities",FABR,Wood & Metal Fabrication,50 or More
11/5/2017,Health Care Health & Safety Program,Garson,Northern,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
10/29/2017,Health Care Health & Safety Program,,,623110,Nursing Care Facilities,NSER,Nursing Services,20 to 49
11/6/2017,Health Care Health & Safety Program,,,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
11/5/2017,Industrial Health & Safety Program,Timmins,,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
11/10/2017,Industrial Health & Safety Program,Toronto,Central East,484232,"Dry Bulk Materials Trucking, Long Distance",TRAN,Transportation,50 or More
10/31/2017,Industrial Health & Safety Program,Grand Bend,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
11/1/2017,Industrial Health & Safety Program,Toronto,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
11/5/2017,Health Care Health & Safety Program,Bradford,,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
11/6/2017,Industrial Health & Safety Program,Salford,Western,493110,General Warehousing and Storage,RETL,Retail,50 or More
11/4/2017,Industrial Health & Safety Program,Kleinburg,Central West,331523,Non-ferrous metal die-casting foundries,STEL,Primary Metals,50 or More
11/1/2017,Industrial Health & Safety Program,THOROLD,South Western,,,,,
11/3/2017,Industrial Health & Safety Program,Kanata,Eastern,452999,All Other Miscellaneous General Merchandise Stores,RETL,Retail,50 or More
11/2/2017,Industrial Health & Safety Program,Picton,Eastern,332314,Concrete Reinforcing Bar Manufacturing,FABR,Wood & Metal Fabrication,20 to 49
11/3/2017,Industrial Health & Safety Program,Windsor,Western,332710,Machine Shops,FABR,Wood & Metal Fabrication,1 to 5
10/30/2017,Industrial Health & Safety Program,Mississauga,Central West,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
11/1/2017,Industrial Health & Safety Program,Beamsville,South Western,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
11/4/2017,Industrial Health & Safety Program,Windsor,Western,913130,Municipal Police Services,PLCE,Police,50 or More
11/10/2017,Health Care Health & Safety Program,McKerrow,Northern,621610,Home Health Care Services,NSER,Nursing Services,50 or More
10/29/2017,Mining Health & Safety Program,Thunder Bay,Northern,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
11/9/2017,Industrial Health & Safety Program,Peterborough,Eastern,452110,Department Stores,RETL,Retail,50 or More
11/7/2017,Industrial Health & Safety Program,Otter Rapids,Northern,332810,"Coating, engraving, cold and heat treating and allied activities",FABR,Wood & Metal Fabrication,50 or More
11/5/2017,Health Care Health & Safety Program,Vaughan,Central West,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,HOSP,Hospitals,50 or More
11/9/2017,Industrial Health & Safety Program,Whitby,Central East,336390,Other motor vehicle parts manufacturing,INDS,Industrial Services,50 or More
11/3/2017,Industrial Health & Safety Program,Hamilton,South Western,413110,General-line food merchant wholesalers,FOOD,"Food, Beverage & Tobacco",
11/5/2017,Mining Health & Safety Program,Toronto,Central East,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
11/2/2017,Industrial Health & Safety Program,HAMILTON,South Western,562920,Material Recovery Facilities,WHLS,Wholesalers,6 to 19
12/6/2017,Industrial Health & Safety Program,Toronto,Central East,332113,Forging,FABR,Wood & Metal Fabrication,50 or More
12/4/2017,Industrial Health & Safety Program,,,913130,Municipal Police Services,PLCE,Police,50 or More
11/29/2017,Industrial Health & Safety Program,Scarborough,Central East,311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",FOOD,"Food, Beverage & Tobacco",6 to 19
12/3/2017,Industrial Health & Safety Program,Sault Ste. Marie,Northern,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
12/6/2017,Industrial Health & Safety Program,Markham,Central West,721113,Resorts,SERV,"Tourism, Hospitality & Recreational Services",50 or More
12/10/2017,Health Care Health & Safety Program,Guelph Junction,Western,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
11/26/2017,Industrial Health & Safety Program,,,331523,Non-ferrous metal die-casting foundries,STEL,Primary Metals,50 or More
12/10/2017,Industrial Health & Safety Program,Scarborough,Central East,444220,Nursery Stores and Garden Centres,RETL,Retail,20 to 49
12/8/2017,Industrial Health & Safety Program,Perkinsfield,Central West,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,20 to 49
12/4/2017,Industrial Health & Safety Program,Windsor,Western,541212,Offices of Accountants,RETL,Retail,
12/5/2017,Industrial Health & Safety Program,Penetanguishene,Central West,913910,"Other Local, Municipal and Regional Public Administration",NECI,NEC - Industrial,50 or More
12/3/2017,Industrial Health & Safety Program,Scarborough,Central East,111411,Mushroom Production,FARM,Farming,50 or More
12/8/2017,Industrial Health & Safety Program,Niagara Falls,South Western,336370,Motor Vehicle Metal Stamping,AUTO,Automotive,50 or More
12/10/2017,Construction Health & Safety Program,BRANTFORD,South Western,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
12/5/2017,Industrial Health & Safety Program,North York,Central East,336360,Motor Vehicle Seating and Interior Trim Manufacturing,TEXT,"Textiles, Printing",50 or More
12/2/2017,Industrial Health & Safety Program,Strathroy,Western,418110,Recyclable metal merchant wholesalers,STEL,Primary Metals,6 to 19
12/9/2017,Industrial Health & Safety Program,Aurora,,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,FABR,Wood & Metal Fabrication,50 or More
12/9/2017,Health Care Health & Safety Program,LONDON,Western,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
12/9/2017,Health Care Health & Safety Program,Ancaster,South Western,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
12/2/2017,Industrial Health & Safety Program,BARRIE,Central West,311990,All Other Food Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
12/2/2017,Health Care Health & Safety Program,Etobicoke,Central East,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
11/29/2017,Industrial Health & Safety Program,Toronto,,326122,Plastic Pipe and Pipe Fitting Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
12/2/2017,Industrial Health & Safety Program,Ottawa,,611690,All Other Schools and Instruction,EDUC,Education,6 to 19
12/6/2017,Industrial Health & Safety Program,Dryden,Northern,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
11/28/2017,Industrial Health & Safety Program,Woodbridge,Central West,332710,Machine Shops,FABR,Wood & Metal Fabrication,20 to 49
12/3/2017,Industrial Health & Safety Program,Markham,Central West,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,STEL,Primary Metals,50 or More
12/8/2017,Industrial Health & Safety Program,Concord,Central West,913140,Municipal Fire-Fighting Services,FIRE,Fire Fighting,20 to 49
12/8/2017,Industrial Health & Safety Program,ALLISTON (NEW TECUMSETH),Central West,484229,"Other Specialized Freight (except Used Goods) Trucking, Local",TRAN,Transportation,6 to 19
12/6/2017,Industrial Health & Safety Program,ST CATHARINES,South Western,332118,Stamping,FABR,Wood & Metal Fabrication,50 or More
12/6/2017,Construction Health & Safety Program,Sudbury,Northern,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,20 to 49
12/3/2017,Industrial Health & Safety Program,Woodstock,Western,452110,Department Stores,RETL,Retail,20 to 49
12/4/2017,Industrial Health & Safety Program,Bradford,Central West,524112,"Direct Group Life, Health and Medical Insurance Carriers",OFFS,Offices & Related Services,
12/11/2017,Construction Health & Safety Program,Whitby,Central East,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,6 to 19
1/7/2021,Industrial Health & Safety Program,Sioux Lookout,Northern,493110,General Warehousing and Storage,RETL,Retail,50 or More
1/10/2021,Construction Health & Safety Program,Belleville,Eastern,,,,,
1/11/2021,Industrial Health & Safety Program,Waterloo,Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
1/10/2021,Industrial Health & Safety Program,Woodbridge,Central West,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
1/12/2021,Industrial Health & Safety Program,Toronto,Central East,311340,Non-Chocolate Confectionery Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
1/10/2021,Industrial Health & Safety Program,London,Western,512110,Motion Picture and Video Production,FLTV,Film & TV,50 or More
1/8/2021,Industrial Health & Safety Program,Toronto,Central East,322211,Corrugated and Solid Fibre Box Manufacturing,PULP,"Pulp, Paper",50 or More
1/14/2021,Industrial Health & Safety Program,Brampton,Central West,236210,Industrial Building and Structure Construction,NECI,NEC - Industrial,6 to 19
1/10/2021,Industrial Health & Safety Program,Guelph,,561110,Office Administrative Services,GOVT,Government,
1/15/2021,Construction Health & Safety Program,Mississauga,Central West,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
2/11/2021,Health Care Health & Safety Program,Mississauga,Central West,621610,Home Health Care Services,NSER,Nursing Services,50 or More
2/14/2021,Industrial Health & Safety Program,Oshawa,Central East,493110,General Warehousing and Storage,TRAN,Transportation,6 to 19
2/13/2021,Construction Health & Safety Program,Rexdale,Central East,238170,Siding Contractors,RESS,Single Family Housing,1 to 5
2/15/2021,Construction Health & Safety Program,North York,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,20 to 49
2/13/2021,Industrial Health & Safety Program,London,Western,336510,Railroad Rolling Stock Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2/8/2021,Construction Health & Safety Program,Niagara Falls,South Western,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
3/12/2021,Industrial Health & Safety Program,Ottawa,Eastern,561110,Office Administrative Services,OFFS,Offices & Related Services,50 or More
3/12/2021,Industrial Health & Safety Program,Toronto,Central East,452110,Department Stores,RETL,Retail,50 or More
3/17/2021,Health Care Health & Safety Program,Brampton,Central West,623210,Residential Developmental Handicap Facilities,HFRC,Homes for Residential Care,6 to 19
3/10/2021,Industrial Health & Safety Program,Stoney Creek,South Western,912120,Provincial Correctional Services,GOVT,Government,50 or More
3/7/2021,Industrial Health & Safety Program,Whitby,Central East,611210,Community Colleges and C.E.G.E.P.s,EDUC,Education,50 or More
3/8/2021,Industrial Health & Safety Program,Welland,South Western,315990,Clothing Accessories and Other Clothing Manufacturing,TEXT,"Textiles, Printing",6 to 19
3/15/2021,Construction Health & Safety Program,KITCHENER,Western,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
3/9/2021,Health Care Health & Safety Program,,,621610,Home Health Care Services,NSER,Nursing Services,50 or More
5/14/2021,Industrial Health & Safety Program,GUELPH,Western,312120,Breweries,FOOD,"Food, Beverage & Tobacco",50 or More
5/8/2021,Industrial Health & Safety Program,Ottawa South,Eastern,484221,"Bulk Liquids Trucking, Local",TRAN,Transportation,1 to 5
5/17/2021,Health Care Health & Safety Program,Mississauga,Central West,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
5/7/2021,Industrial Health & Safety Program,Mississauga,Central West,493110,General Warehousing and Storage,TRAN,Transportation,50 or More
5/10/2021,Health Care Health & Safety Program,Mississauga,Central West,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
5/8/2021,Industrial Health & Safety Program,Toronto,Central East,326122,Plastic Pipe and Pipe Fitting Manufacturing,STEL,Primary Metals,50 or More
5/7/2021,Industrial Health & Safety Program,HAMILTON,South Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
6/7/2021,Health Care Health & Safety Program,Mississauga,Central West,624120,Services for the Elderly and Persons with Disabilities,GRPH,Group Homes,20 to 49
6/15/2021,Industrial Health & Safety Program,AURORA,Central West,111999,All Other Miscellaneous Crop Farming,AGRI,Agricultural Services,6 to 19
6/7/2021,Industrial Health & Safety Program,SPRINGWATER TWP,Central West,561730,Landscaping Services,NECI,NEC - Industrial,50 or More
6/13/2021,Industrial Health & Safety Program,Waterloo,Western,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
6/7/2021,Industrial Health & Safety Program,Thunder Bay,Northern,325410,Pharmaceutical and Medicine Manufacturing,INDS,Industrial Services,
7/13/2021,Industrial Health & Safety Program,Oshawa,Central East,493110,General Warehousing and Storage,TRAN,Transportation,20 to 49
7/15/2021,Industrial Health & Safety Program,Oshawa,Central East,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
7/11/2021,Industrial Health & Safety Program,Brampton,Central West,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
7/16/2021,Industrial Health & Safety Program,Whitby,Central East,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
7/9/2021,Industrial Health & Safety Program,,,311614,Rendering and Meat Processing from Carcasses,FOOD,"Food, Beverage & Tobacco",50 or More
8/17/2021,Industrial Health & Safety Program,Toronto,Central East,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
8/7/2021,Industrial Health & Safety Program,Mississauga,Central West,721111,Hotels,SERV,"Tourism, Hospitality & Recreational Services",50 or More
8/12/2021,Construction Health & Safety Program,Windsor,Western,237130,Power and Communication Line and Related Structures Construction,HYDR,Hydro,50 or More
8/17/2021,Industrial Health & Safety Program,LONDON,Western,561730,Landscaping Services,NECI,NEC - Industrial,
8/12/2021,Industrial Health & Safety Program,Shakespeare,South Western,311919,Other Snack Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
8/10/2021,Industrial Health & Safety Program,Kitchener,,493190,Other Warehousing and Storage,FABR,Wood & Metal Fabrication,50 or More
8/13/2021,Industrial Health & Safety Program,GUELPH,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
8/11/2021,Health Care Health & Safety Program,Trenton,Eastern,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
8/8/2021,Industrial Health & Safety Program,Greater Sudbury,,327390,Other Concrete Product Manufacturing,CERM,"Ceramics, Glass& Stone",50 or More
8/15/2021,Construction Health & Safety Program,KITCHENER,Western,238220,"Plumbing, Heating and Air-Conditioning Contractors",MOVE,Moving of a Building/Structure,1 to 5
8/8/2021,Construction Health & Safety Program,Ottawa,Eastern,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
8/12/2021,Industrial Health & Safety Program,Toronto,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
9/16/2021,Industrial Health & Safety Program,Brantford,South Western,561730,Landscaping Services,LOGS,Logging & Sawmills,6 to 19
9/17/2021,Industrial Health & Safety Program,Guelph,Western,336211,Motor Vehicle Body Manufacturing,AUTO,Automotive,50 or More
9/14/2021,Industrial Health & Safety Program,Cambridge,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
9/16/2021,Construction Health & Safety Program,Spanish,Northern,237310,"Highway, Street and Bridge Construction",BRID,Bridge Construction,20 to 49
9/9/2021,Mining Health & Safety Program,Niagara Falls,South Western,212323,Sand and Gravel Mining and Quarrying,PITS,Sand & Gravel Pits,1 to 5
9/14/2021,Industrial Health & Safety Program,Simcoe,South Western,238220,"Plumbing, Heating and Air-Conditioning Contractors",INDS,Industrial Services,50 or More
9/12/2021,Industrial Health & Safety Program,LONDON,Western,238110,Poured Concrete Foundation and Structure Contractors,FABR,Wood & Metal Fabrication,6 to 19
9/17/2021,Industrial Health & Safety Program,Waterloo,Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
9/7/2021,Industrial Health & Safety Program,Toronto,Central East,331511,Iron Foundries,STEL,Primary Metals,20 to 49
9/13/2021,Industrial Health & Safety Program,KITCHENER,Western,332118,Stamping,FABR,Wood & Metal Fabrication,50 or More
9/8/2021,Industrial Health & Safety Program,Etobicoke,Central East,913910,"Other Local, Municipal and Regional Public Administration",SERV,"Tourism, Hospitality & Recreational Services",50 or More
9/15/2021,Mining Health & Safety Program,BRANTFORD,South Western,212220,Gold and Silver Ore Mining,DIAM,Diamond Drilling,
9/10/2021,Construction Health & Safety Program,Mississauga,Central West,237990,Other Heavy and Civil Engineering Construction,RAIL,Railway,50 or More
10/17/2021,Health Care Health & Safety Program,Sault Ste. Marie,Northern,623210,Residential Developmental Handicap Facilities,HFRC,Homes for Residential Care,20 to 49
10/16/2021,Industrial Health & Safety Program,Breslau,South Western,452991,Home and Auto Supplies Stores,VEHS,Vehicle Sales & Service,50 or More
10/12/2021,Industrial Health & Safety Program,LONDON,Western,562920,Material Recovery Facilities,WHLS,Wholesalers,50 or More
10/13/2021,Industrial Health & Safety Program,ORILLIA,Central West,711213,Horse Race Tracks,SERV,"Tourism, Hospitality & Recreational Services",50 or More
10/13/2021,Industrial Health & Safety Program,Oakville,South Western,561612,Security Guard and Patrol Services,INDS,Industrial Services,
10/12/2021,Industrial Health & Safety Program,Bracebridge,Eastern,444110,Home Centres,RETL,Retail,50 or More
10/16/2021,Health Care Health & Safety Program,Brampton,Central West,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
10/9/2021,Construction Health & Safety Program,Brampton,Central West,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
10/14/2021,Industrial Health & Safety Program,Oakville,South Western,311515,"Butter, Cheese, and Dry and Condensed Dairy Product Manufacturing",FOOD,"Food, Beverage & Tobacco",50 or More
10/11/2021,Mining Health & Safety Program,Barrie,Central West,212220,Gold and Silver Ore Mining,UMIN,Underground Mines,50 or More
10/13/2021,Industrial Health & Safety Program,Virgil,South Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,
10/12/2021,Construction Health & Safety Program,Woodbridge,Central West,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,50 or More
10/9/2021,Construction Health & Safety Program,Mississauga,Central West,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
10/16/2021,Industrial Health & Safety Program,Mississauga,Central West,452991,Home and Auto Supplies Stores,VEHS,Vehicle Sales & Service,50 or More
10/14/2021,Construction Health & Safety Program,Brampton,Central West,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,20 to 49
10/16/2021,Construction Health & Safety Program,Mississauga,Central West,,,,,
10/12/2021,Industrial Health & Safety Program,Etobicoke,Central East,236220,Commercial and Institutional Building Construction,AGRI,Agricultural Services,50 or More
10/17/2021,Industrial Health & Safety Program,Oakville,South Western,311340,Non-Chocolate Confectionery Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
11/13/2021,Construction Health & Safety Program,Aurora,Central West,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
11/12/2021,Industrial Health & Safety Program,Mississauga,Central West,611110,Elementary and Secondary Schools,EDUC,Education,
11/8/2021,Industrial Health & Safety Program,Brampton,Central West,326130,"Laminated Plastic Plate, Sheet (except Packaging), and Shape Manufacturing",CHEM,"Chemical, Rubber & Plastics",1 to 5
11/12/2021,Construction Health & Safety Program,Burlington,,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
11/7/2021,Construction Health & Safety Program,Concord,Central West,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
11/13/2021,Health Care Health & Safety Program,Barrie,Central West,623310,Community Care Facilities for the Elderly,HFRC,Homes for Residential Care,50 or More
11/8/2021,Health Care Health & Safety Program,Elora,South Western,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
11/14/2021,Health Care Health & Safety Program,Brampton,Central West,621610,Home Health Care Services,NSER,Nursing Services,50 or More
11/10/2021,Industrial Health & Safety Program,HAMILTON,South Western,332710,Machine Shops,FABR,Wood & Metal Fabrication,50 or More
11/7/2021,Construction Health & Safety Program,Concord,Central West,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
11/10/2021,Industrial Health & Safety Program,Mississauga,Central West,722511,Full-service restaurants,REST,Restaurants,20 to 49
11/10/2021,Industrial Health & Safety Program,Pickering,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
11/12/2021,Industrial Health & Safety Program,Mississauga,Central West,722512,Limited-service eating places,FOOD,"Food, Beverage & Tobacco",50 or More
11/11/2021,Construction Health & Safety Program,North York,Central East,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,50 or More
11/8/2021,Industrial Health & Safety Program,Etobicoke,Central East,713940,Fitness and Recreational Sports Centres,OFFS,Offices & Related Services,6 to 19
12/16/2021,Industrial Health & Safety Program,Waterloo,Western,445310,"Beer, Wine and Liquor Stores",RETL,Retail,6 to 19
12/17/2021,Industrial Health & Safety Program,CHATHAM,Western,418990,All other merchant wholesalers,NECI,NEC - Industrial,50 or More
12/6/2021,Mining Health & Safety Program,Nanticoke,South Western,212220,Gold and Silver Ore Mining,UMIN,Underground Mines,50 or More
12/16/2021,Industrial Health & Safety Program,London,Western,611690,All Other Schools and Instruction,EDUC,Education,
12/13/2021,Industrial Health & Safety Program,Oshawa,Central East,237990,Other Heavy and Civil Engineering Construction,TRAN,Transportation,20 to 49
12/8/2021,Industrial Health & Safety Program,Toronto,Central East,452999,All Other Miscellaneous General Merchandise Stores,RETL,Retail,50 or More
12/13/2021,Industrial Health & Safety Program,,,111419,Other Food Crops Grown Under Cover,FARM,Farming,50 or More
1/7/2022,Health Care Health & Safety Program,Ajax,Central East,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
1/4/2022,Health Care Health & Safety Program,Oakville,South Western,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
12/29/2021,Health Care Health & Safety Program,Ajax,Central East,621610,Home Health Care Services,TCSS,Treatment Clinics & Specialized Services,
1/4/2022,Construction Health & Safety Program,Concord,Central West,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
1/6/2022,Mining Health & Safety Program,ST THOMAS,Western,212220,Gold and Silver Ore Mining,SPLT,Surface Plant (Mine Sites),50 or More
1/4/2022,Construction Health & Safety Program,Etobicoke,Central East,236110,Residential Building Construction,RESS,Single Family Housing,20 to 49
12/28/2021,Industrial Health & Safety Program,Hamilton,South Western,611110,Elementary and Secondary Schools,EDUC,Education,
1/2/2022,Industrial Health & Safety Program,Sudbury,Northern,611690,All Other Schools and Instruction,EDUC,Education,20 to 49
1/8/2022,Health Care Health & Safety Program,Athens,Eastern,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
1/1/2022,Industrial Health & Safety Program,BARRIE,Central West,452991,Home and Auto Supplies Stores,RETL,Retail,50 or More
1/6/2022,Industrial Health & Safety Program,Oakville,South Western,339990,All Other Miscellaneous Manufacturing,INDS,Industrial Services,
1/1/2022,Industrial Health & Safety Program,THOROLD,South Western,321992,Prefabricated Wood Building Manufacturing,FABR,Wood & Metal Fabrication,50 or More
12/30/2021,Industrial Health & Safety Program,Sudbury,Northern,912120,Provincial Correctional Services,GOVT,Government,50 or More
12/30/2021,Industrial Health & Safety Program,Thunder Bay,Northern,444130,Hardware Stores,VEHS,Vehicle Sales & Service,50 or More
12/30/2021,Industrial Health & Safety Program,LONDON,Western,912120,Provincial Correctional Services,GOVT,Government,50 or More
1/7/2022,Industrial Health & Safety Program,KITCHENER,Western,713110,Amusement and Theme Parks,SERV,"Tourism, Hospitality & Recreational Services",50 or More
1/6/2022,Industrial Health & Safety Program,Chatham,Western,418990,All other merchant wholesalers,WHLS,Wholesalers,6 to 19
1/6/2022,Industrial Health & Safety Program,KITCHENER,Western,336390,Other motor vehicle parts manufacturing,FABR,Wood & Metal Fabrication,50 or More
1/1/2022,Industrial Health & Safety Program,Ottawa,Eastern,452110,Department Stores,RETL,Retail,50 or More
12/31/2021,Industrial Health & Safety Program,South River,Northern,332710,Machine Shops,FABR,Wood & Metal Fabrication,6 to 19
1/1/2022,Industrial Health & Safety Program,Brampton,Central West,452110,Department Stores,RETL,Retail,20 to 49
12/31/2021,Industrial Health & Safety Program,Mitchell,Western,446110,Pharmacies and Drug Stores,RETL,Retail,6 to 19
1/5/2022,Industrial Health & Safety Program,ORILLIA,Central West,561210,Facilities Support Services,CONY,Construction Premises,20 to 49
1/8/2022,Industrial Health & Safety Program,Toronto,Central East,713110,Amusement and Theme Parks,SERV,"Tourism, Hospitality & Recreational Services",1 to 5
1/11/2022,Industrial Health & Safety Program,Mitchell,Western,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
1/9/2022,Health Care Health & Safety Program,Brampton,Central West,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
1/4/2022,Industrial Health & Safety Program,Concord,Central West,453310,Used Merchandise Stores,RETL,Retail,50 or More
1/12/2022,Health Care Health & Safety Program,HAMILTON,South Western,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
1/9/2022,Construction Health & Safety Program,Collingwood,Central West,,,,,
1/6/2022,Health Care Health & Safety Program,North York,Central East,621499,All Other Out-Patient Care Centres,POAA,Professional Offices & Agencies,6 to 19
1/12/2022,Industrial Health & Safety Program,Ottawa,Eastern,221113,Nuclear Electric Power Generation,UTIL,Utilities,50 or More
1/12/2022,Industrial Health & Safety Program,ST THOMAS,Western,321992,Prefabricated Wood Building Manufacturing,FABR,Wood & Metal Fabrication,50 or More
1/5/2022,Industrial Health & Safety Program,Whitby,Central East,452110,Department Stores,RETL,Retail,50 or More
1/6/2022,Health Care Health & Safety Program,BRANTFORD,South Western,623110,Nursing Care Facilities,HFRC,Homes for Residential Care,50 or More
12/30/2021,Industrial Health & Safety Program,Elliot Lake,Northern,452110,Department Stores,NECI,NEC - Industrial,50 or More
1/5/2022,Health Care Health & Safety Program,HAMILTON,South Western,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
1/1/2022,Industrial Health & Safety Program,Sault Ste. Marie,Northern,418990,All other merchant wholesalers,FOOD,"Food, Beverage & Tobacco",50 or More
1/3/2022,Health Care Health & Safety Program,Mississauga,Central West,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,20 to 49
12/30/2021,Industrial Health & Safety Program,Waterloo,Western,326193,Motor Vehicle Plastic Parts Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
1/10/2022,Industrial Health & Safety Program,Bolton,Central West,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
1/11/2022,Industrial Health & Safety Program,Innisfil,Central West,112110,"Beef Cattle Ranching and Farming, including Feedlots",AGRI,Agricultural Services,1 to 5
