Accident_Date,Worker_age,Occupation_Category_Code,Occupation_Category_Description,Occupation_Code,Occupation_Description,Worker_Experience_in_Years,Accident_Source_Category_Description1,Source_Category_Description2,Accident_Category_Description,Accident_Place_Description,Organization_City,Organization_Province_Code,Industry_Sector_Description
2/12/2022,29,623,INSURANCE AND REAL ESTATE SALES OCCUPATIONS AND BUYERS,6234,RETAIL AND WHOLESALE BUYERS,0.5,"PLANT & INDUSTRIAL POWERED VEHICLE, N.E.C.","WOOD, LUMBER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,BRAMPTON,ON,FOOD
2/19/2022,45,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7442,RESIDENTIAL AND COMMERCIAL INSTALLERS AND SERVICERS,0.5,GROUND,"LADDERS, N.E.C.",FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,MISSISSAUGA,ON,CONSTRUCTION
2/16/2022,73,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,27,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,THAMESVILLE,ON,TRANSPORTATION
1/29/2022,36,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7444,AUTOMOTIVE MECHANICAL INSTALLERS AND SERVICERS,7,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FLOORS,BODILY REACTION,PLACE FOR SPORTS AND RECREATION.,SEATTLE,WA,SERVICES
2/15/2022,41,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",5,"STAIRS, STEPS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL TO LOWER LEVEL,PLACE NOT SPECIFIED,TORONTO,ON,EDUCATION-INDUSTRIAL
1/22/2022,48,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9487,MECHANICAL ASSEMBLERS AND INSPECTORS,0.5,LATHES,CLOTHING AND SHOES,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,HAMILTON,ON,MANUFACTURING
1/14/2022,54,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9618,"LABOURERS IN FOOD, BEVERAGE AND TOBACCO PROCESSING",0.5,OTHER STRUCTURES,UNKNOWN,STRUCK AGAINST OBJECT,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",HAWKESBURY,ON,FOOD
1/23/2022,55,738,"PRINTING PRESS OPERATORS, COMMERCIAL DIVERS & OTHER TRADES &",7384,OTHER TRADES AND RELATED OCCUPATIONS,1,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",JUMP TO LOWER LEVEL,INDUSTRIAL SITE.,BRAMPTON,ON,CONSTRUCTION
1/5/2022,48,624,CHEFS AND COOKS,6243,COOKS,0.5,FLOORS,LIQUIDS,FALL ON SAME LEVEL,STREET AND HIGHWAY.,BRAMPTON,ON,INDUSTRIAL
1/19/2022,36,727,CARPENTERS AND CABINETMAKERS,7272,CARPENTERS,3,GROUND,ROOF TRUSSES,FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,MARKHAM,ON,CONSTRUCTION
2/7/2024,72,1,LEGISLATORS AND SENIOR MANAGEMENT,15,"SENIOR MANAGERS - HEALTH, EDUCATION, SOCIAL AND COMMUNITY SE",5,FLOORS,LIQUIDS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,SEELEYS BAY,ON,HEALTH CARE
2/27/2023,52,943,MACHINE OPERATORS & REL. WRKRS. IN PULP & PAPER PROD. & WOOD,9436,PAPER CONVERTING MACHINE OPERATORS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,BRANTFORD,ON,MANUFACTURING
3/17/2023,64,124,"SECRETARIES, RECORDERS AND TRANSCRIPTIONISTS",1242,SECRETARIES (EXCEPT LEGAL AND MEDICAL),0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,STREET AND HIGHWAY.,BRAMPTON,ON,HEALTH CARE
3/5/2023,26,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9618,"LABOURERS IN FOOD, BEVERAGE AND TOBACCO PROCESSING",0.5,FLOORS,HOSES,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,MILTON,ON,FOOD
3/1/2023,66,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1477,TRANSPORTATION ROUTE AND CREW SCHEDULERS,0.5,TRAILERS,"SCRAP, WASTE, DEBRIS, UNS",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,ORILLIA,ON,TRANSPORTATION
3/12/2023,36,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7266,WELDERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","CO-WORKER, FORMER CO-WORKER OF INJURED OR ILL WORKER",BODILY REACTION,PLACE NOT SPECIFIED,SCARBOROUGH,ON,INDUSTRIAL
3/9/2023,68,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,"STREET, ROAD","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,HOME.,NIAGARA FALLS,ON,TRANSPORTATION
3/12/2023,47,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",GROUND,BODILY REACTION,PUBLIC BUILDINGS.,OWEN SOUND,ON,MANUFACTURING
3/11/2023,64,668,OTHER ELEMENTAL SERVICE OCCUPATIONS,6682,DRY CLEANING AND LAUNDRY OCCUPATIONS,0.5,"CART, DOLLY, HANDTRUCK",LAUNDRY,STRUCK BY OBJECT,PUBLIC BUILDINGS.,MARKHAM,ON,HEALTH CARE
3/26/2024,30,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,,"PLUMBING FIXTURES, UNS","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,ETOBICOKE,ON,SERVICES
3/29/2023,46,721,"CONTRACTORS AND SUPERVISORS, TRADES AND RELATED WORKERS",7215,"CONTRACTORS AND SUPERVISORS, METAL FORMING, SHAPING AND EREC",0.5,STRUCTURAL METAL MATERIALS,FORKLIFT,STRUCK BY OBJECT,INDUSTRIAL SITE.,SAULT STE. MARIE,ON,CONSTRUCTION
1/28/2023,24,761,TRADES HELPERS AND LABOURERS,7613,OTHER TRADES HELPERS AND LABOURERS,0.5,STRUCTURAL METAL MATERIALS,UNKNOWN,STRUCK BY OBJECT,HOME.,MORRISBURG,ON,CONSTRUCTION
2/28/2023,38,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,HAMILTON,ON,CHEMICAL/PROCESS
11/1/2022,59,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,SCARBOROUGH,ON,MANUFACTURING
1/25/2023,56,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,VAN--PASSENGER OR LIGHT DELIVERY,WEATHER AND ATMOSPHERIC CONDITIONS,HIGHWAY ACCIDENT,PUBLIC BUILDINGS.,WATFORD,ON,TRANSPORTATION
3/3/2023,22,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"LADDERS, UNS",WEATHER AND ATMOSPHERIC CONDITIONS,STRUCK BY OBJECT,PUBLIC BUILDINGS.,OSHAWA,ON,CONSTRUCTION
3/18/2023,24,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,FASTENERS,OTHER HANDTOOLS--POWERED,STRUCK BY OBJECT,INDUSTRIAL SITE.,TORONTO,ON,CONSTRUCTION
12/8/2022,52,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,4,GROUND,"LADDERS, UNS",FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,OTTAWA,ON,CONSTRUCTION
3/26/2023,48,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,GLOUCESTER,ON,TRANSPORTATION
4/12/2023,27,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS",OTHER SOURCES,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,TORONTO,ON,MANUFACTURING
4/14/2023,46,922,"SUPERVISORS, ASSEMBLY AND FABRICATION",9228,"SUPERVISORS, OTHER PRODUCTS MANUFACTURING AND ASSEMBLY",0.5,"MACHINERY, UNS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",MARKHAM,ON,MANUFACTURING
4/16/2023,48,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9483,"MOTOR VEHICLE ASSEMBLERS, INSPECTORS AND TESTERS",0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCTURAL METAL MATERIALS,BODILY REACTION,PUBLIC BUILDINGS.,MARKHAM,ON,MANUFACTURING
3/31/2023,63,942,"MACHINE OPERATORS & REL. WRKRS. IN CHEMICAL,PLASTIC & RUBBER",9423,PLASTICS PROCESSING MACHINE OPERATORS,0.5,MACHINE AND APPLIANCE PARTS,UNKNOWN,FALL ON SAME LEVEL,INDUSTRIAL SITE.,BARRIE,ON,MANUFACTURING
3/16/2023,53,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"CART, DOLLY, HANDTRUCK","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,PLACE NOT SPECIFIED,THUNDER BAY,ON,TRANSPORTATION
3/18/2023,55,731,MACHINERY & TRANSPORT. EQUIP. MECHANICS (EXCP MOTOR VEHICLE),7312,CONSTRUCTION MILLWRIGHTS AND INDUSTRIAL MECHANICS (EXCEPT TE,0.5,"TANKS, BINS, VATS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,INDUSTRIAL SITE.,NORTH YORK,ON,MANUFACTURING
2/25/2023,25,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,TRUCK,"HIGHWAY VEHICLE, UNS",HIGHWAY ACCIDENT,PUBLIC BUILDINGS.,BELLEVILLE,ON,TRANSPORTATION
4/9/2023,72,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7413,BUS DRIVERS AND SUBWAY AND OTHER TRANSIT OPERATORS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,PARIS,ON,TRANSPORTATION
6/30/2021,55,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9613,LABOURERS IN METAL FABRICATION,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,OTTAWA,ON,MANUFACTURING
3/26/2023,24,732,MOTOR VEHICLE MECHANICS,7322,"MOTOR VEHICLE MECHANICS, TECHNICIANS AND MECHANICAL REPAIRER",,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,KINGSTON,ON,SERVICES
3/30/2023,47,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,"BEDS, BEDDING, MATTRESSES","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PUBLIC BUILDINGS.,BELLEVILLE,ON,HEALTH CARE
3/21/2023,60,625,BUTCHERS AND BAKERS,6252,"BUTCHERS AND MEAT CUTTERS, RETAIL AND WHOLESALE",0.5,"CART, DOLLY, HANDTRUCK","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK BY OBJECT,HOME.,ST-AUGUSTIN-D-DESM,PQ,INDUSTRIAL
4/3/2023,57,522,"PHOTOGRAPHERS, GRAPHIC ARTS TECHS. & TECH. OCCUPS. IN MOTION",5226,AUDIO AND VIDEO RECORDING TECHNICIANS,0.5,FLOORS,UNKNOWN,FALL TO LOWER LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",NEWMARKET,ON,MANUFACTURING
3/29/2023,34,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,2,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,STRATHROY,ON,CONSTRUCTION
3/1/2023,57,727,CARPENTERS AND CABINETMAKERS,7272,CARPENTERS,0.5,SNOWMOBILE,OTHER STRUCTURES,HIGHWAY ACCIDENT,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",WATFORD,ON,CONSTRUCTION
2/16/2023,35,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,OSHAWA,ON,INDUSTRIAL
9/19/2022,55,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9483,"MOTOR VEHICLE ASSEMBLERS, INSPECTORS AND TESTERS",0.5,STRUCTURAL METAL MATERIALS,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,WHITBY,ON,MANUFACTURING
9/7/2022,44,222,TECHNICAL OCCUPATIONS IN LIFE SCIENCES,2225,CONSERVATION AND FISHERY OFFICERS,0.5,SNOW SKIING GOODS AND EQUIPMENT,PERSON--OTHER THAN INJURED OR ILL WORKER,STRUCK BY OBJECT,PUBLIC BUILDINGS.,THUNDER BAY,ON,MUNICIPAL
9/13/2022,51,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7262,SHEET METAL WORKERS,0.5,OTHER MACHINERY,CLOTHING AND SHOES,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,INDUSTRIAL SITE.,ST MARYS,ON,MANUFACTURING
9/29/2022,35,761,TRADES HELPERS AND LABOURERS,7613,OTHER TRADES HELPERS AND LABOURERS,0.5,FLOORS,"BOXES, CRATES, CARTONS",FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,LONDON,ON,MANUFACTURING
9/21/2022,38,861,PRIMARY PRODUCTION LABOURERS,8613,LANDSCAPING AND GROUNDS MAINTENANCE LABOURERS,,"BRICKS, BLOCKS, STRUCTURAL STONE","BRICKS, BLOCKS, STRUCTURAL STONE",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",CORNWALL,ON,MANUFACTURING
10/31/2022,65,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,"TANKS, BINS, VATS","CONTAINERS--NONPRESSURIZED, N.E.C.",FALL ON SAME LEVEL,INDUSTRIAL SITE.,PETERBOROUGH,ON,HEALTH CARE
11/24/2021,37,727,CARPENTERS AND CABINETMAKERS,7272,CARPENTERS,0.5,GROUND,ROOF,FALL TO LOWER LEVEL,PLACE NOT SPECIFIED,BURLINGTON,ON,CONSTRUCTION
12/22/2021,71,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,TILLSONBURG,ON,INDUSTRIAL
9/18/2022,65,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,GROUND,TRACTOR,FALL TO LOWER LEVEL,"PARKING LOT, PARKING PLACE N.E.S.",BRANTFORD,ON,TRANSPORTATION
9/13/2022,36,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,FORKLIFT,"CASES, CABINETS, RACKS, SHELVES, N.E.C.","NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",INDUSTRIAL SITE.,CONCORD,ON,TRANSPORTATION
9/11/2022,63,729,OTHER CONSTRUCTION TRADES,7295,PAINTERS AND DECORATORS,0.5,PARKING LOTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,STREET AND HIGHWAY.,BOLTON,ON,INDUSTRIAL
9/21/2022,38,729,OTHER CONSTRUCTION TRADES,7292,ROOFERS AND SHINGLERS,0.5,FLOORS,LIQUIDS,FALL TO LOWER LEVEL,HOME.,ETOBICOKE,ON,CONSTRUCTION
9/14/2022,60,941,MACHINE OPERATORS & REL. WRKRS. IN METAL & MINERAL PRODUCTS,9415,"CONCRETE, CLAY AND STONE FORMING OPERATORS",0.5,"WOOD, LUMBER","SCAFFOLDS, STAGING",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,UTOPIA,ON,CONSTRUCTION
12/6/2021,30,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,MARKHAM,ON,TRANSPORTATION
12/31/2021,38,732,MOTOR VEHICLE MECHANICS,7322,"MOTOR VEHICLE MECHANICS, TECHNICIANS AND MECHANICAL REPAIRER",6,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,HANOVER,ON,SERVICES
12/7/2021,37,321,MEDICAL TECHNOLOGISTS AND TECHNICIANS (EXCEPT DENTAL HEALTH),3219,OTHER MEDICAL TECHNOLOGISTS AND TECHNICIANS (EXCEPT DENTAL H,1,FLOORS,CHAIRS,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,BLENHEIM,ON,HEALTH CARE
12/31/2021,21,662,OTHER SALES AND RELATED OCCUPATIONS,6623,GROCERY CLERKS AND SHELF STOCKERS,0.5,"CONTAINERS--NONPRESSURIZED, N.E.C.","CONTAINERS--NONPRESSURIZED, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,WINDSOR,ON,INDUSTRIAL
12/4/2021,52,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7266,WELDERS,8,"BOXES, CRATES, CARTONS","REELS, ROLLS",STRUCK BY OBJECT,INDUSTRIAL SITE.,NAIRN CENTRE,ON,MANUFACTURING
3/19/2021,45,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,5,FORKLIFT,"STRUCTURAL ELEMENTS, N.E.C.","NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",PLACE NOT SPECIFIED,OTTAWA,ON,SERVICES
12/26/2021,64,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,6,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,SCARBOROUGH,ON,SERVICES
12/27/2021,50,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",11,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",WEATHER AND ATMOSPHERIC CONDITIONS,BODILY REACTION,INDUSTRIAL SITE.,CAMBRIDGE,ON,SERVICES
3/9/2021,62,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,12,"ROPES, TIES","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",OVEREXERTION,STREET AND HIGHWAY.,CORNWALL,ON,TRANSPORTATION
10/24/2021,34,146,MAIL AND MESSAGE DISTRIBUTION OCCUPATIONS,1464,COURIERS AND MESSENGERS,,ANIMAL OR HUMAN POWERED VEHICLE,GROUND,"NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",PLACE NOT SPECIFIED,MARKHAM,ON,TRANSPORTATION
12/21/2021,45,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,7,DOORS,"BUILDINGS--OFFICE, PLANT, RESIDENTIAL",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,INDUSTRIAL SITE.,ST CATHARINES,ON,SERVICES
1/13/2022,28,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",6,"OTHER FLOORS, WALKWAYS, GROUND SURFACES",OTHER BUILDING MATERIALS--SOLID ELEMENTS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,NORTH YORK,ON,SERVICES
1/17/2022,22,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),1,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,HOME.,BURLINGTON,ON,CONSTRUCTION
1/9/2022,64,315,NURSE SUPERVISORS AND REGISTERED NURSES,3153,REGISTERED NURSES,12,FLOORS,CHAIRS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,NORTH YORK,ON,HEALTH CARE
12/8/2021,47,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,FORKLIFT,"TANKS, BINS, VATS",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,DOWLING,ON,MANUFACTURING
7/28/2021,46,666,CLEANERS,6662,LIGHT DUTY CLEANERS,0.5,FLOORS,LIQUIDS,FALL ON SAME LEVEL,HOME.,ETOBICOKE,ON,INDUSTRIAL
1/1/2022,62,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7266,WELDERS,3,PARKING LOTS,AUTOMOBILE,FALL ON SAME LEVEL,STREET AND HIGHWAY.,NEPEAN,ON,MANUFACTURING
11/27/2021,57,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,3,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,WOODSTOCK,ON,CHEMICAL/PROCESS
12/27/2021,54,145,"LIBRARY, CORRESPONDENCE AND RELATED INFORMATION CLERKS",1454,"CUSTOMER SERVICE, INFORMATION AND RELATED CLERKS",3,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,BELLEVILLE,ON,SERVICES
12/27/2021,38,721,"CONTRACTORS AND SUPERVISORS, TRADES AND RELATED WORKERS",7213,"CONTRACTORS AND SUPERVISORS, ELECTRICAL TRADES AND TELECOMMU",10,LADDERS--MOVABLE,LADDERS--MOVABLE,FALL TO LOWER LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",POINTE-AU-BARIL-STATION,ON,CONSTRUCTION
5/20/2022,63,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,FORKLIFT,TRUCK,"PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT",INDUSTRIAL SITE.,MARKHAM,ON,MANUFACTURING
9/6/2021,67,861,PRIMARY PRODUCTION LABOURERS,8613,LANDSCAPING AND GROUNDS MAINTENANCE LABOURERS,0.5,MOWING MACHINERY,TRUCK,HIGHWAY ACCIDENT,INDUSTRIAL SITE.,AJAX,ON,MANUFACTURING
5/29/2022,52,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,HOME.,TORONTO,ON,CONSTRUCTION
6/23/2021,29,951,"MACHINING,METALWORKING,WOODWORKING & RELATED MACH. OPERATORS",9515,METALWORKING MACHINE OPERATORS,0.5,MACHINE AND APPLIANCE PARTS,SAWING MACHINERY--STATIONARY,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",CAMBRIDGE,ON,MANUFACTURING
5/17/2022,33,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,PARKING LOTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,KITCHENER,ON,TRANSPORTATION
5/4/2022,62,63,MANAGERS IN FOOD SERVICE AND ACCOMMODATION,632,RESTAURANT AND FOOD SERVICE MANAGERS,0.5,FLOORS,"FLOOR COVERINGS, NONSTRUCTURAL",FALL ON SAME LEVEL,INDUSTRIAL SITE.,TORONTO,ON,INDUSTRIAL
5/27/2022,30,729,OTHER CONSTRUCTION TRADES,7292,ROOFERS AND SHINGLERS,0.5,GROUND,ROOF,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,PETROLIA,ON,CONSTRUCTION
5/31/2022,62,621,SALES AND SERVICE SUPERVISORS,6213,FOOD SERVICE SUPERVISORS,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,AYLMER,ON,FOOD
6/19/2022,58,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,GROUND,TRUCK,FALL TO LOWER LEVEL,"PARKING LOT, PARKING PLACE N.E.S.",OSHAWA,ON,MANUFACTURING
4/27/2022,42,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,FLOORS,FORKLIFT,FALL ON SAME LEVEL,HOME.,AJAX,ON,AGRICULTURE
5/23/2022,34,762,"PUBLIC WORKS AND OTHER LABOURERS, N.E.C.",7622,PUBLIC WORKS AND MAINTENANCE LABOURERS,0.5,GROUND,GROUND,FALL ON SAME LEVEL,INDUSTRIAL SITE.,KIRKLAND,QC,MANUFACTURING
5/29/2022,65,522,"PHOTOGRAPHERS, GRAPHIC ARTS TECHS. & TECH. OCCUPS. IN MOTION",5227,"OTHER TECHNICAL OCCUPATIONS IN MOTION PICTURES, BROADCASTING",0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,PETERBOROUGH,ON,MANUFACTURING
5/19/2022,53,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,0.5,FLOORS,"WASHERS, DRYERS, & CLEANING MACHINERY & APPLIANCES",JUMP TO LOWER LEVEL,PUBLIC BUILDINGS.,SEVERN,ON,INDUSTRIAL
